GeoID,TractNum,TotalValueSampleUnits,MedianPropertyValue,TotalRentSampleUnits,MedianGrossRent,TotalIncomeSampleHouseholds,MedianIncome,TotalOccupationSamplePop,PercentOccupation_management_business_science_arts ,PercentOccupation_sales_office,TotalIndustrySamplePop,PercentIndustry_wholesale trade,PercentIndustry_information,PercentIndustry_finance and insurance_real estate,PercentIndustry_professional_scientific_management_administrative_wastemanagement,PercentIndustry_educational_healthcare_socialAssistance,PercentIndustry_PublicAdmin,TotalEducSample_over25,PercentEducAttainment_BachelorOrHigher
1400000US42101000101,1.01,366,412300,977,1810,1350,104052,1590,86.4,8.6,1590,2.1,4.9,6.5,31.9,25.5,1.4,1759,95.6
1400000US42101000102,1.02,658,503300,1123,2059,1840,91944,2152,80.2,15.5,2152,2.2,2.3,12.2,27.6,25.6,2,2367,89.1
1400000US42101000200,2,875,458100,753,1354,1628,91067,2236,53,15.5,2236,3.9,1.4,5.9,26.1,18.8,1,2714,52
1400000US42101000300,3,426,668000,1659,2008,2085,86782,2004,80.4,11.3,2004,1.7,2.6,15.5,19.9,36.3,2.3,2846,82.1
1400000US42101000401,4.01,628,552300,1194,1231,1849,67188,1622,80.5,15,1622,1.5,2.7,17.3,17.9,44.5,3.1,2277,81.9
1400000US42101000404,4.04,1017,331900,1257,1994,2323,90504,2139,84,9.6,2139,0,1.7,16.5,35.6,26.9,1.2,3053,77.5
1400000US42101000500,5,61,338600,1073,1682,1144,51801,1110,64.8,18.7,1110,5.6,5.1,11.7,11.5,25.4,3.5,2567,42.7
1400000US42101000600,6,18,,990,2152,1008,90119,1113,85.7,11.7,1113,0.7,1.3,13.4,14.4,42.9,4,1291,91.1
1400000US42101000701,7.01,302,306300,977,2043,1279,87776,1338,76.9,10.2,1338,1.3,0,7.9,20.8,48.7,3.1,1437,86.4
1400000US42101000702,7.02,294,250000,1217,2131,1511,54121,1521,78,11,1521,0.3,19.5,16,12.9,27.9,2.8,2077,79.9
1400000US42101000801,8.01,286,662000,657,1984,952,126905,1208,77.1,19.5,1208,0,2,19,24.7,43.4,0,1256,93
1400000US42101000803,8.03,781,866400,1093,1621,1883,82121,1924,81.9,12.2,1924,0.2,2.4,4.3,23,44.2,0.2,2491,91.2
1400000US42101000805,8.05,419,580900,1414,1875,1847,80772,2045,86,5.2,2045,0.8,0.7,12.3,28.2,37.5,2.8,2224,95.7
1400000US42101000806,8.06,445,461600,1172,2315,1617,166885,1743,85.1,11,1743,0,1.8,16.5,24.4,39.1,0,2054,91.6
1400000US42101000901,9.01,132,356400,1412,1238,1571,49276,1447,69.8,13.8,1447,0,1.2,10,25.1,32.3,3.5,1788,83.3
1400000US42101000902,9.02,230,984800,1196,1316,1433,67014,1578,77.1,13.2,1578,0.8,1,17.4,19.5,30.5,2.5,2268,74.1
1400000US42101001001,10.01,1058,493500,577,1930,1659,118102,1408,80.2,11.9,1408,0.8,0,9,22.9,34.9,0.9,2506,87
1400000US42101001002,10.02,1445,666000,582,1809,2046,169531,2309,82.9,10.4,2309,1.9,4.4,7.1,21.7,33,1.9,3047,88.2
1400000US42101001101,11.01,554,450800,1850,1139,2404,48370,2416,65.2,20.2,2416,1,3.5,6.7,16.3,40.3,1.8,2944,66.5
1400000US42101001102,11.02,767,614300,671,1458,1459,133906,1911,75.2,17.7,1911,1.3,2,13.2,22.1,37.9,1,2200,93.2
1400000US42101001201,12.01,913,779500,1093,1610,2083,106871,2804,86.1,9.2,2804,1.5,3.5,11.2,12.4,50.5,3.1,3218,84.9
1400000US42101001203,12.03,274,,951,1628,1225,94449,1359,76.1,15.5,1359,0,5.5,7.1,19.6,41.2,0,1662,87.1
1400000US42101001204,12.04,545,705000,1154,1580,1732,82115,1864,75.2,19,1864,0,5.5,10.1,26.2,28.1,4,2436,83.3
1400000US42101001301,13.01,523,504600,230,1486,795,174327,1233,65.8,33.3,1233,0,4,16.6,28.8,35,14.7,1421,81.6
1400000US42101001302,13.02,1168,496500,882,2056,2066,109458,2971,74.8,13.5,2971,0,5.5,10.2,8.3,48.6,1.6,3559,82.4
1400000US42101001400,14,1078,587000,926,1413,2004,103239,2675,73,14.1,2675,1.4,2.9,13.2,19.1,41.2,1.3,3254,67.9
1400000US42101001500,15,847,485600,626,1444,1478,93203,2042,75.6,13.2,2042,2.4,3.1,9.5,25,31.3,3.1,2525,67.3
1400000US42101001600,16,584,639600,611,1724,1195,147782,1676,73,22.1,1676,2.1,3.5,16.1,24.5,21.2,3.3,1913,82.6
1400000US42101001700,17,922,608900,466,1486,1388,129300,1776,76.7,14.3,1776,0.6,3.8,9,23.6,34.8,1.4,2216,84.9
1400000US42101001800,18,943,473700,748,1656,1691,99125,2169,77.6,13,2169,0,3.8,10.1,16.6,33.1,3,2523,75.3
1400000US42101001900,19,1021,502500,711,1985,1732,138093,2783,78.2,9.1,2783,0.7,3.8,10.5,25.9,31.5,4.6,3270,81.6
1400000US42101002000,20,663,317300,329,1599,1082,71379,1336,58.6,13.6,1336,2.2,5.1,8.5,18.3,26.2,2,1709,53.5
1400000US42101002100,21,606,282600,283,1593,948,92955,1578,45.8,14.7,1578,1.6,1.5,7.9,10.1,26.4,2.3,1950,42.6
1400000US42101002200,22,518,371200,639,1331,1157,65598,1628,55.5,29.9,1628,0.9,2.7,6.6,12.6,30.2,5,1926,49.3
1400000US42101002300,23,597,378100,586,1587,1234,85577,1616,52.5,13.1,1616,0,4.3,9.8,22.8,16.6,3,2348,52.8
1400000US42101002400,24,1373,404100,1192,1400,2583,91382,3133,65.2,17.3,3133,2.3,0.6,8.7,20.3,33.2,4.3,3930,70.8
1400000US42101002500,25,1117,427600,889,999,2023,67548,2122,60.7,15.5,2122,0.5,2.8,5.7,17,34.6,1.5,3225,51.1
1400000US42101002701,27.01,1116,347900,699,1248,1877,84055,2360,59.3,13.8,2360,0.8,5.7,7,13.9,20,10.2,3268,56.2
1400000US42101002702,27.02,1345,320600,557,1495,1933,80075,2440,64.2,13.9,2440,1.8,2,5,21.4,26.4,2.9,3507,49.4
1400000US42101002801,28.01,767,287000,735,1196,1651,67021,2260,47.3,10.7,2260,1,4,2.3,13.2,32.1,2.9,3144,32.1
1400000US42101002802,28.02,1388,329700,751,1362,2338,71409,3228,61.3,18.7,3228,2,2.7,5,13.6,22.4,4.6,4309,59.7
1400000US42101002900,29,1412,345100,817,1158,2229,76394,2773,61.7,18.4,2773,0.9,0.9,4.7,17.3,39.4,4.9,3419,62.6
1400000US42101003001,30.01,907,213300,637,1252,1544,49132,1822,40.5,9.9,1822,4.3,2,2.4,14.7,27.7,1.6,2934,41.5
1400000US42101003002,30.02,781,309900,626,1557,1493,66217,1807,42.8,12.2,1807,1.3,0.9,9.6,7.7,30.8,5.3,2369,41.2
1400000US42101003100,31,1379,224800,874,1155,2296,71054,2602,56.1,10.4,2602,2.2,2.5,6.9,17.2,25.4,2.1,3657,40
1400000US42101003200,32,980,164800,571,1319,1632,46500,1693,46.1,15.7,1693,0.2,1.9,7.3,5.3,30.8,5.2,2813,27.6
1400000US42101003300,33,956,162700,1454,1115,2444,58186,3169,45.8,20.2,3169,0,3.3,8.2,12.4,30.1,4.7,4446,23.2
1400000US42101003600,36,1410,162400,1136,495,2567,37597,2554,24.8,19.2,2554,5,0,0,6.3,28.9,5.1,4272,13.6
1400000US42101003701,37.01,1572,174100,743,1262,2315,63075,2945,31.9,18.6,2945,5.2,2.4,5.7,14.6,34.3,3.9,4523,25.8
1400000US42101003702,37.02,635,172600,619,1305,1277,44917,1584,36.1,24.4,1584,1.1,3.4,8.6,7.3,27.3,3.5,2338,30.8
1400000US42101003800,38,1344,270800,281,1192,1647,84132,2071,38.6,33.4,2071,1.3,2.2,12.8,16.2,18.9,7,2889,30.3
1400000US42101003901,39.01,1359,235900,1636,1114,3036,55876,3763,43.6,21.4,3763,2.7,2.1,13.4,12.4,26.5,2.8,5201,37.4
1400000US42101003902,39.02,1720,260700,581,1150,2352,69265,2995,44.1,21.4,2995,3.1,2,7.8,12.2,29.7,6,4450,29.6
1400000US42101004001,40.01,1014,279600,819,1145,1929,67841,2491,45.7,5.6,2491,0.8,4.9,0.6,8.3,22.2,3.1,3479,33.4
1400000US42101004002,40.02,1671,232400,567,1182,2269,68523,2852,44.5,23.3,2852,1.9,2.2,4.4,16.2,26.1,1.7,3698,27
1400000US42101004101,41.01,1256,199100,679,1267,1964,60925,2313,46.9,21.7,2313,4.4,2,3.9,15.3,25.3,4.5,3668,29.9
1400000US42101004103,41.03,711,169500,578,1328,1351,42675,2036,19.3,13.2,2036,9.7,3.1,1,10.3,11.7,1.8,2738,15.5
1400000US42101004104,41.04,735,163000,617,1088,1352,54597,1545,23.7,21,1545,2.9,1.5,5.8,7.7,20.7,5,2959,26.1
1400000US42101004201,42.01,1731,221500,394,1484,2176,78065,2868,26.5,35.9,2868,5.4,1.5,8.8,14.5,10.9,7.7,3941,30.8
1400000US42101004202,42.02,1617,218800,407,1381,2024,64441,2162,28.9,26.7,2162,4.1,0.9,4.8,8.6,24.6,6.6,4211,21.6
1400000US42101005400,54,252,197700,486,1310,738,65341,790,37.8,28.5,790,4.1,0,9,6.6,31.3,11,1154,31.5
1400000US42101005500,55,1708,152000,1090,1384,2798,65706,3395,25.8,25.2,3395,2.2,0.4,4.3,10.6,31.9,6.5,4706,30.2
1400000US42101005600,56,67,98700,590,1096,662,42661,703,18.5,16.6,703,4,0,3,11.5,30.3,4.7,838,13.5
1400000US42101006000,60,1426,155200,919,1105,2400,46987,2656,28.6,19.7,2656,5.5,0,5.6,7.2,28.7,5.7,4091,18.3
1400000US42101006100,61,832,120400,361,748,1193,37521,1431,19.6,29.2,1431,3.9,0,3.9,6.9,31.3,7.5,1900,13.9
1400000US42101006200,62,617,87600,913,1165,1544,38006,1889,26.8,19.5,1889,4.2,0,3.4,14.5,28.7,2.2,2930,16.4
1400000US42101006300,63,478,66200,993,1064,1523,29307,1787,22.2,26,1787,2.7,1.2,8.6,8.4,44.3,2.1,2740,7.2
1400000US42101006400,64,994,83200,628,1035,1630,32191,2013,25.9,30.5,2013,0.5,0.5,4.2,4.6,30,4,2671,14.3
1400000US42101006500,65,854,89100,725,1072,1640,39141,1673,34.8,21.1,1673,1.1,0,5.7,18.8,34.4,3.7,2662,16.8
1400000US42101006600,66,448,70900,862,906,1329,27049,1091,6.8,28.9,1091,14.2,0,5.7,0.6,28.6,3.7,2074,5.4
1400000US42101006700,67,1277,85400,1529,1208,2908,39927,3048,19.5,22.3,3048,1.6,0,5.1,16.1,32.1,2.4,4666,8.4
1400000US42101007000,70,741,73500,713,1048,1467,34928,1492,5.3,19.2,1492,2.1,0,3.6,18,31.3,3.1,2314,11.3
1400000US42101007101,71.01,345,69000,412,1011,809,34552,743,15.7,29.3,743,1.2,1.3,0.8,12.5,20.3,0,1546,4.7
1400000US42101007102,71.02,946,74400,669,1039,1719,29321,1479,28.7,25.2,1479,0.6,0,5.5,14.5,26.6,8,3129,14.8
1400000US42101007200,72,743,76000,773,1044,1618,38704,1636,27.8,22.3,1636,0,0,6.3,8.2,38.2,9.1,2530,22
1400000US42101007300,73,661,242300,625,1120,1309,45446,1414,51.9,17.9,1414,1.5,0,3.2,16,39.7,5.8,2170,38
1400000US42101007400,74,809,95600,947,1031,1792,43654,1778,31.5,15.2,1778,3.6,1.1,3,13.9,30.2,6.9,2925,20.6
1400000US42101007700,77,94,314800,628,1073,728,46667,1121,64.2,14.7,1121,2.3,0.8,1.8,14,45.4,1.1,998,70.4
1400000US42101007800,78,516,514900,1614,1079,2130,55200,2478,68.1,15.6,2478,0.5,4.1,8.3,13.8,38.1,1.9,3249,65.1
1400000US42101007900,79,943,493300,1207,1142,2204,72847,2864,69,19.9,2864,0.3,3.1,14.3,14,44.3,2.5,3366,71.8
1400000US42101008000,80,866,256400,868,1284,1745,58355,2190,57.5,20.2,2190,0,12.8,8.9,10.4,33.7,2,2994,49.9
1400000US42101008101,81.01,568,103400,404,840,1075,44261,1360,28.7,20.4,1360,0.9,2.5,15.9,6.5,27.1,5.2,1973,14.7
1400000US42101008102,81.02,1348,108600,614,1049,2022,41900,2221,27.2,16.2,2221,3.3,1.9,8.2,15.3,28.1,3.3,3449,20.5
1400000US42101008200,82,2033,124300,947,1111,2998,31805,2811,39.9,17.8,2811,4.9,0,1.6,8.1,38.7,10.7,4652,21.8
1400000US42101008301,83.01,726,83900,901,974,1627,35961,1580,31.4,18.2,1580,0.3,10.8,2.5,8.5,32,10.8,3093,15.8
1400000US42101008302,83.02,795,84200,1005,971,1864,25151,1371,23,19.9,1371,2.7,3,1.4,9,38.8,4.4,3106,11.3
1400000US42101008400,84,1028,100000,657,1088,1720,49417,2307,26.1,18.5,2307,0,0.4,5.3,5.5,42.5,5.5,3073,16.3
1400000US42101008500,85,1133,121700,1789,874,3002,41974,3050,35.9,10.6,3050,0,0.9,6.3,14.7,28.8,5.1,4558,20.3
1400000US42101008601,86.01,350,372300,1187,1365,1537,64702,2003,65.7,11.9,2003,0.3,1.8,5.2,6.7,49.5,4.7,2619,66.2
1400000US42101008602,86.02,204,289400,1339,1153,1543,30822,1701,42.4,18.8,1701,0,3.2,2.9,11.3,38.7,3.5,2217,30.4
1400000US42101008701,87.01,267,376700,1506,1156,1773,47566,2313,65.2,6.2,2313,1.5,4.7,4.3,15.7,50.7,1.4,2313,75.7
1400000US42101008702,87.02,144,643400,1445,1158,1589,33902,1915,65.9,18.7,1915,0.6,1.5,1.9,14.5,57.9,3.1,1897,75.5
1400000US42101008801,88.01,0,,349,2241,356,36250,940,54,17.7,940,0,1.7,7,8.9,47.9,0.3,452,98.7
1400000US42101008802,88.02,92,,1314,1240,1406,17465,2473,56.1,15.9,2473,0,1.1,2.3,7.4,63.2,1.4,1002,69.3
1400000US42101009000,90,97,551200,1105,1244,1202,33750,2449,45,17.7,2449,3.9,1.3,3.2,9.8,41.8,1.8,1179,58.9
1400000US42101009100,91,262,401800,1379,1099,1641,35521,1425,69.1,9.4,1425,0.6,1.3,1.9,15.1,50.9,6.9,2035,54.2
1400000US42101009200,92,555,230700,924,896,1487,40234,1823,45,16.6,1823,0,5.2,1.4,10.9,34.4,11.5,2143,46.1
1400000US42101009300,93,1308,90400,821,891,2156,29597,1893,32.7,36.3,1893,1.8,0,6.6,8.1,34.3,2.3,3256,20.6
1400000US42101009400,94,571,74900,1198,664,1803,22438,1442,22.1,15.2,1442,1.3,2.1,4.5,5.3,40.2,7.9,2465,5.9
1400000US42101009500,95,626,66600,924,891,1569,29550,1214,20.8,22.2,1214,0,0,1.3,1.7,32.1,3.3,2240,9.6
1400000US42101009600,96,831,99800,663,1020,1553,45984,1466,32.3,25,1466,0,0,0.7,20.2,36.2,12.4,2345,15.1
1400000US42101009801,98.01,640,152400,411,1201,1051,68165,1196,41.4,27.7,1196,0,0,10.7,6.4,31.9,11.8,1672,23.6
1400000US42101009802,98.02,1614,155800,439,1164,2107,66830,2978,38.1,14.3,2978,0,3.2,4.7,3.9,42.2,5.5,3701,29.3
1400000US42101010000,100,1015,129200,701,1089,1740,46147,2202,25.9,28.2,2202,0.7,0.4,7.1,24.2,25.7,11.9,2962,21.5
1400000US42101010100,101,1358,97000,782,884,2287,46467,2183,32.8,42.1,2183,0,1.6,1.9,19.4,35.9,1.1,3958,14.1
1400000US42101010200,102,497,73000,779,908,1363,28992,1189,30.7,13.3,1189,0,2.2,3.9,8.7,51.2,2.4,2217,17.7
1400000US42101010300,103,356,106100,590,1002,980,30680,1059,14.1,17.6,1059,0,0,3.8,2.1,45.5,7.1,1772,6.5
1400000US42101010400,104,519,67500,986,948,1540,21700,1134,19.5,10.4,1134,0,0,4.1,11.4,52.4,1.1,2359,8.1
1400000US42101010500,105,558,173400,935,729,1493,28472,1266,32.1,20.5,1266,2.4,0,2,9.2,41.9,2.5,2886,15.1
1400000US42101010600,106,163,97300,449,745,638,22647,628,12.6,37.6,628,0,4.3,0,22,22.1,1.8,1120,10.1
1400000US42101010700,107,484,104000,658,930,1184,36006,1163,24.8,16.6,1163,5.2,0,0,9.3,37.1,12.7,1948,15.9
1400000US42101010800,108,544,107300,1225,857,1852,24706,1390,39.8,15.8,1390,1.2,1.1,4.6,8.8,27.2,1.2,2542,23.2
1400000US42101010900,109,229,306300,824,984,1053,29331,1186,40.6,18.5,1186,0,0,3,9.8,48.1,2.8,1475,24.9
1400000US42101011000,110,512,80400,777,851,1388,15870,941,13.4,31.1,941,3.8,3.4,6.8,0,33.9,6,1674,11.3
1400000US42101011100,111,822,82500,498,740,1340,43235,1447,10.2,18.4,1447,0,3.9,2.2,11,31,5.4,2471,9.1
1400000US42101011200,112,1141,91100,789,1289,2015,26220,1481,25.1,13.7,1481,1.1,2.5,6.9,7.5,53.3,5.3,3212,12.9
1400000US42101011300,113,896,119000,290,1061,1272,40326,1480,27.2,23.1,1480,2,0,3,20.1,30.5,10.5,2240,23.8
1400000US42101011400,114,1548,156800,1554,857,3132,37530,2632,36.7,4.3,2632,0,0,3.8,4.1,38.4,7.3,4196,25.8
1400000US42101011500,115,1341,143100,375,1130,1742,74815,2507,38.3,22.1,2507,1.8,2.7,4.9,5.7,42.5,11.7,3238,28.2
1400000US42101011700,117,298,271300,62,977,360,87708,679,50.7,17.4,679,0,1.6,2.2,8.8,37.3,3.5,732,50.4
1400000US42101011800,118,1894,152700,257,,2151,38642,1727,49.3,16,1727,0,2.6,9.3,6.7,38.6,12.5,3920,34.4
1400000US42101011900,119,1207,119900,854,947,2126,45433,2357,42.6,20.8,2357,2,3.2,3.6,16,34.8,6,3540,21.5
1400000US42101012000,120,327,357200,315,1233,642,69500,1007,52.3,13.8,1007,0,0,2.6,14.5,40.6,5.7,1203,48.7
1400000US42101012100,121,487,197000,1130,1123,1623,47875,1351,48.9,14.4,1351,0,1.1,2.6,9.8,44.9,7.3,2606,45.2
